COMPANY NAME,COUNTRY / TERRITORY,2-LETTER CODE,ACCOUNTING CODE (PAX),AIRLINE PREFIX CODE
Southern Air Charter Co., Limited,Bahamas,PL*,,
Southern Airways Express, LLC,UNITED STATES OF AMERICA,9X,504,
Southern Sky Airlines JSC,Kazakhstan,IH,824,
Southwest Airlines Co.,UNITED STATES OF AMERICA,WN,526,526
SpiceJet Ltd.,India,SG,775,775
Spirit Airlines,UNITED STATES OF AMERICA,NK,487,487
Spring Airlines Limited Corporation,People's Republic of China,9C,089,089
Spring Japan Co. Ltd.,Japan,IJ,,
SPRINGJET, S.A.,Portugal,5K,,026
Sprintair SA,Poland,P8,,
SriLankan Airlines Limited,Sri Lanka,UL,603,603
Stabo Air Services Limited,Netherlands,4E,,242
Star Air A/S,Denmark,DJ*,,763
Star Flyer Inc.,Japan,7G*,922,
Star Up S.A. dba Star Peru,Peru,2I,156,156
STARLUX AIRLINES CO., LTD.,Chinese Taipei,JX,189,189
STP Airways - Transportes Aereos de S. Tome e Principe,Sao Tome and Principe,8F,470,
Sudan Airways Co. Ltd.,Sudan,SD,200,200
Sun Air Aviation,Sudan,SO,,
Sun Air of Scandinavia A.S.,Denmark,EZ*,,
Sun Country Inc dba Sun Country Airlines,UNITED STATES OF AMERICA,SY,337,337
Sun d'Or International Airlines,Israel,2U,,
Sunclass Airlines Aps,Denmark,DK,,630
Sundair GmbH,Germany,SR,,
SunExpress,Turkey,XQ*,564,564
Sunlight Air,Philippines,2R,,
Sunrise Airlines Inc.,UNITED STATES OF AMERICA,M2*,,592
Sunrise Airways S.A. dba Sunrise Airways,Haiti,S6,660,
Sunsplash Aviation, LLC.,UNITED STATES OF AMERICA,YH,,361
Sunwing Airlines Inc.,Canada,WG,292,292
Suparna Airlines Co., Ltd.,People's Republic of China,Y8,871,871
Surinaamse Luchtvaart Maatschappij N.V dba Surinam Airways,Suriname,PY,192,192
Swiftair, S.A.,Spain,WT,221,221
Swiss Airtainer SA,Switzerland,SW,,
SWISS International Air Lines Ltd dba SWISS,Switzerland,LX,724,724
Swoop Inc.,Canada,WO,995,995
Sylt Air GmbH,Germany,7E,,
Synergy Aviation Ltd,United Kingdom,YD,,259
Syphax Airlines S A,Tunisia,SO*,,
Syrian Arab Airlines,Syrian Arab Republic,RB,070,070
T'way Air Co., Ltd.,Korea, Republic of,TW,722,722
TAAG - Linhas Aereas de Angola, SA dba TAAG-Angola Airlines,Angola,DT,118,118
TACA International Airlines S.A.,El Salvador,TA,202,202
Tailwind Air LLC,UNITED STATES OF AMERICA,TQ,,
Tailwind Hava Yollari A.S.,Turkey,TI*,,768
TAM Linhas Aereas S.A. dba LATAM Airlines Brasil,Brazil,JJ,957,957
Tampa Cargo S.A.S,Colombia,QT,,729
TAP Portugal,Portugal,TP,047,047
Tarco Aviation Co.LTD,Sudan,3T,524,
Tassili Airlines,Algeria,SF,515,
Tasman Cargo Airlines PTY LTD,Australia,HJ*,,
TATA SIA AIRLINES LTD dba VISTARA,India,UK,228,228
Tatonduk Outfitters Limited dba Eve Air Alaska dba Everts Air Cargo,UNITED STATES OF AMERICA,5V,840,840
Tbilisi Airways LLC dba Aircompany ''Tbilisi Airways'',Georgia,TD,,
TCA LLC Aircompany ''TCA'',Georgia,N6*,,
Tchadia Airlines,Chad,OT,024,024
Tectimes Sudamericana S.A.,Argentina,C1,322,
Thai AirAsia Co., Ltd. dba AirAsia,Thailand,FD,900,900
Texel Air W.L.L,Bahrain,,,565
Thai Airasia X Company Limited,Thailand,XJ,940,940
Thai Airways International Public Company Ltd. dba Thai,Thailand,TG,217,217
Thai Lion Mentari Company Limited dba Thai Lion Air,Thailand,SL,310,
Thai Smile Airways Company Limited,Thailand,WE*,909,909
Thai Summer Airways Company Limited,Thailand,9T,,
Thai Vietjet Air,Thailand,VZ,863,863
Thalys International,Belgium,2H*,056,
The Cargo Flights Co.,LTD.,Thailand,9O*,,
The Landline Company,UNITED STATES OF AMERICA,L4,727,
Tianjin Air Cargo Co., Ltd.,People's Republic of China,HT,,877
TianJin Airlines Co. Ltd,People's Republic of China,GS,826,826
Tibet Airlines Corporation Limited,People's Republic of China,TV,088,
Tigerair Taiwan Co. Ltd,Chinese Taipei,IT,608,608
Titan Airways Limited,United Kingdom,ZT*,,858
Titan Airways Malta ltd,Malta,TM*,,183
Topre Corporation,Japan,T4,,
Touristic Aviation Services Limited dba Corendon Airlines Europe,Malta,XR,187,187
Trade Air Ltd.,Croatia,C3,,
Tradewind Aviation, LLC,UNITED STATES OF AMERICA,TJ,492,
Trans Caribbean Air Export Import, Inc,UNITED STATES OF AMERICA,CB*,,456
Trans Executive Airlines of Hawaii,UNITED STATES OF AMERICA,R9*,,
Transavia Airlines,Netherlands,HV,979,979
Transavia France,France,TO,270,
Transcarga Int'l Airways, C.A.,Venezuela,T7*,,382
Transporte Aereo S.A. dba LATAM Airlines Chile,Chile,LU,972,972
Transportes Aereos Bolivianos,Bolivia,2L*,,901
Transportes Aereos de Cabo Verde dba TACV Cabo Verde Airlines,Cape Verde,VR,696,696
Transportes Aereos del Mercosur S.A dba LATAM Airlines Paraguay,Paraguay,PZ,692,692
Transportes Aereos Guatemaltecos SA,Guatemala,5U,911,911
Transportes Aeromar, S.A. de C.V.,Mexico,VW,942,942
Transportes Interilhas de Cabo Verde, Sociedade Unipessoal, SA.,Cape Verde,3B,383,
TRANSWEST AIR LIMITED,Canada,4T,,
Travel Technology Interactive SA,France,Y1,392,
Travelport / dba Galileo International,UNITED STATES OF AMERICA,1V,588,
Travelport dba Worldspan,UNITED STATES OF AMERICA,1P,523,
Travelport dba Worldspan,United Kingdom,1G,773,
Travelsky Technology Limited,People's Republic of China,1E,252,
Trenitalia S.p.A.,Italy,7T*,,
Tropic Air Limited,Belize,9N,789,
Tropic Ocean Airways LLC.,UNITED STATES OF AMERICA,TI,,
Tsaradia dba Tsaradia,Madagascar,TZ,852,852
TUI Airlines Belgium N.V dba TUI fly,Belgium,TB*,612,612
TUI Airlines Nederland B.V.,Netherlands,OR,178,178
TUI Airways Limited dba TUI,United Kingdom,BY,,754
TUIfly GmbH,Germany,X3*,617,617
TUIfly Nordic AB,Sweden,6B*,951,951
Tunisair,Tunisia,TU,199,199
Tunisair Express,Tunisia,UG,150,150
Turistik Hava Tasimacilik A.S. (Corendon Airlines),Turkey,XC,,395
Turkish Airlines Inc.,Turkey,TK,235,235
Turkmenistan Airlines dba Turkmenistan Airlines,Turkmenistan,T5,542,542
Turpial Airlines, C.A.,Venezuela,T9,,
Tus Airways Ltd,Cyprus,U8,034,
Twin Jet,France,T7,294,
TWO TAXI AEREO LTDA,Brazil,2F*,,
UAB Heston Airlines JSC Heston Airlines,Lithuania,HN*,,680
Uganda National Airlines Company Limited dba Uganda Airlines,Uganda,UR,109,
UBM Aviation - OAG,United Kingdom,CR,,
ULS Airlines Cargo,Turkey,GO*,,444
Ultimate Jetcharters LLC dba Ultimate Air Shuttle,UNITED STATES OF AMERICA,UE,327,
Ultra Air S.A.S dba Ultra Air S.A.S,Colombia,U0,,
UNI Airways Corporation,Chinese Taipei,B7,525,525
UNILODE AVIATION SOLUTIONS NETHERLANDS BV,Netherlands,U9,,
Unilode Aviation Solutions New Zealand Limited,New Zealand,C6*,,
Unilode Aviation Solutions Switzerland Ltd.,Switzerland,R7*,,
Unilode Aviation Solutions UK Limit,United Kingdom,R9,,
United Airlines, Inc.,UNITED STATES OF AMERICA,UA,016,016
United Caribbean Airlines BV d.b.a.JetAir Caribbean,Curacao,4J,,
Universal Air Travel Plan (UATP-Marketing),UNITED STATES OF AMERICA,XD,,
Universal Air Travel Plan (UATP) (Annual Dues),UNITED STATES OF AMERICA,XD,,
Universal Airways, Inc.,UNITED STATES OF AMERICA,UV,,
Uniworld Air Cargo Corp.,Panama,U7,,399
UR AIRLINES dba UBD,Iraq,UD,541,
UPS,UNITED STATES OF AMERICA,5X,,406
Urumqi Airlines Co. Ltd.,People's Republic of China,UQ,886,886
US-Bangla Airlines Limited,Bangladesh,BS,779,
USA Jet Airlines, Inc.,UNITED STATES OF AMERICA,UJ*,,
USAC Airways 695 LLC,UNITED STATES OF AMERICA,TD*,,
UTair Aviation,Russian Federation,UT,298,298
Uzbekistan Airways Joint Stock Company,Uzbekistan,HY,250,250
Van Air Europe, a.s.,Czech Republic,V9,,
Vee H Aviation Pty Ltd. T/A Link Airways / Fly FC,Australia,FC,441,
Vensecar Internacional C.A. DBA Vensecar, CA,Venezuela,V4,,946
Venture Travel, LLC dba Taquan Air,UNITED STATES OF AMERICA,K3*,,
Via Airlines, Inc.,UNITED STATES OF AMERICA,VC,359,
Videcom International Limited,United Kingdom,U1,,
Vieques Air Link, Inc,UNITED STATES OF AMERICA,V4*,,
Vietjet Aviation Joint Stock Company dba Vietjet Aviation JSC,Viet Nam,VJ,978,978
Vietnam Air Service Company (VASCO),Viet Nam,0V*,338,338
Vietnam Airlines JSC dba Vietnam Airlines JSC,Viet Nam,VN,738,738
Vietravel Airlines Co., Ltd.,Viet Nam,VU,759,759
Villa Air Pvt. Ltd. dba Villa Air,Maldives,VP,,
Vipper BV,Netherlands,VG,048,
Virgin Atlantic Airways Limited,United Kingdom,VS,932,932
Virgin Australia International Airlines Pty Ltd,Australia,VA,795,795
Viva Airlines Peru S.A.C,Peru,VV,343,
Vivo Air Links Holdings Ltd,Hong Kong (SAR), China,VD,,
Volga-Dnepr Airline Joint Stock,Russian Federation,VI*,,412
Volotea, S.L.,Spain,V7,712,
Vuela Aviacion S.A Volaris Costa Rica,Costa Rica,Q6,621,621
Vuela El Salvador S.A. de C.V.,El Salvador,N3,370,370
Vueling Airlines S.A.,Spain,VY,030,030
Waltzing Matilda Aviation, LLC,UNITED STATES OF AMERICA,MW,058,
WAMOS AIR, S.A.,Spain,EB,460,460
Warbelow's Air Ventures, Inc.,UNITED STATES OF AMERICA,4W,,
West Air Co., Ltd.,People's Republic of China,PN,847,847
Westair Aviation (PTY) Ltd.,Namibia,WV,614,
Western Air Ltd,Bahamas,WU,,
Western Aircraft, Inc.,UNITED STATES OF AMERICA,ST*,,
Western Global Airlines, Inc.,UNITED STATES OF AMERICA,KD*,,904
WestJet,Canada,WS,838,838
WestJet Encore Ltd.,Canada,WR,,
White Airways S.A.,Portugal,WI,097,
Wideroe's Flyveselskap A.S.,Norway,WF,701,701
Wind Rose Aviation Company,Ukraine,7W,461,461
Windward Islands Airways Int'l N.V. dba WINAIR,Sint Maarten,WM,295,295
Wizz Air Abu Dhabi LLC dba Wizz Air,United Arab Emirates,5W,,
Wizz Air Hungary Airlines Limited dba WIZZ Air Hungary Ltd.,Hungary,W6*,,284
Wizz Air UK Limited dba Wizz Air UK,United Kingdom,W9,,
World 2 Fly Portugal, S.A.,Portugal,3P,,
World 2 Fly, S.L. dba W2FLY,Spain,2W,825,
World Cargo Airline Sdn Bhd. dba World Cargo Airlines,Malaysia,3G*,,380
World Ticket Ltd,Denmark,W1,,
Wright Air Service Inc.,UNITED STATES OF AMERICA,8V,,
Xiamen Airlines,People's Republic of China,MF,731,731
Yan Air Ltd,Ukraine,YE,,
Yemenia - Yemen Airways,Yemen, Republic of,IY,635,635
Yeti Airlines Domestic Pvt. Ltd.,Nepal,YT,,
YTO Cargo Airlines Co. Ltd.,People's Republic of China,YG,,860
Zambia Airways (2014) Limited,Zambia,ZN,138,138
Zapways, Inc.,UNITED STATES OF AMERICA,R1,407,
Zhejiang Loong Airlines Co., Ltd,People's Republic of China,GJ,891,891
Zimex Aviation AG,Switzerland,XM,,927
ZIPAIR Tokyo Inc.,Japan,ZG,,
