COMPANY NAME,COUNTRY / TERRITORY,2-LETTER CODE,ACCOUNTING CODE (PAX),AIRLINE PREFIX CODE
ATA AEROTAXI ABAETE LTDA dba ATA AEROTAXI ABAETE LTDA,Brazil,E4,434,
Atlantic Airways, Faroe Islands, P/F,Faroe Islands,RC,767,767
Atlantis-Air Link Ltd.,Canada,EA*,,827
Atlas Air, Inc.,UNITED STATES OF AMERICA,5Y,,369
Aura Airlines, S.L.,Spain,U5*,,
Auric Air Services Limited,Tanzania, United Republic of,UI*,,
Aurigny Air Services Limited,United Kingdom,GR,924,924
Austrian Airlines AG dba Austrian,Austria,OS,257,257
Avelo Airlines, Inc.,UNITED STATES OF AMERICA,XP,,
Avex Air Transport (PTY) LTD,South Africa,,,371
Avia Traffic Company LLC dba Avia Traffic Company LLC,Kyrgyzstan,YK,511,511
Aviacon Zitotrans Air Company JSC,Russian Federation,ZR*,,410
Aviair PTY LTD,Australia,GD,,
Aviakompaniya Pobeda, OOO,Russian Federation,DP,425,
Avialeasing Aviation Company,Uzbekistan,V2,,552
Avianca Costa Rica, S.A. dba Avianca Costa Rica, S.A.,Costa Rica,LR,133,133
AVIANCA-Ecuador dba AVIANCA,Ecuador,2K,547,547
Aviastar-TU Co. Aviacompany,Russian Federation,4B*,,210
Aviation Horizons Ltd,Saudi Arabia,ZS*,,266
Aviation Technologies Inc. dba Publiccharters.com,UNITED STATES OF AMERICA,P1,,
AVION EXPRESS MALTA LTD.,Malta,X8*,,
Avior Airlines, C.A. dba Avior Airlines,Venezuela,9V,742,742
Avtrasoft Limited,Cyprus,T1,,
AXESS INTERNATIONAL NETWORK INC.,Japan,1J,835,
Ayad Bourhane Aviation Ltd,Comoros,Y6,,
Azerbaijan Airlines CJSC,Azerbaijan,J2,771,771
Aztec Worldwide Airlines Inc.,UNITED STATES OF AMERICA,AJ,,179
Azul Linhas Aereas Brasileiras,Brazil,AD,577,577
AZUR air Limited Liability Company,Russian Federation,ZF,037,037
BA Cityflyer Limited,United Kingdom,CJ*,,
Azur Air Ukraine Airlines Limited Liability Company,Ukraine,QU,761,761
Badr Airlines dba Badr Airlines,Sudan,J4,367,367
Bahamasair Holdings, Ltd,Bahamas,UP,111,
Bamboo Airways Joint Stock Company dba Bamboo Airways Joint Stock Comp,Viet Nam,QH,926,926
Bangkok Airways Public Co., Ltd.,Thailand,PG,829,829
Bassaka Air Limited dba Bassaka Air,Cambodia,5B*,590,590
Beijing Capital Airlines Co. Ltd.,People's Republic of China,JD,898,898
Belavia - Belarusian Airlines dba Belavia,Belarus,B2,,
Bemidji Aviation Services, Inc.,UNITED STATES OF AMERICA,CH,,
Bering Air Inc.,UNITED STATES OF AMERICA,8E,,
Berjaya Air Sdn. Bhd. dba Berjaya Air,Malaysia,J8,801,
BERNIQ AIRWAYS dba BERNIQ AIRWAYS,Libyan Arab Jamahiriya,NB,,
Bhutan Airlines dba Tashi Air Pvt Ltd.,Bhutan,B3,786,786
Big Charter Pvt Ltd dba Fly Big,India,S9,,
Biman Bangladesh Airlines Limited,Bangladesh,BG,997,997
Binter Canarias,Spain,NT,474,
Bird Information Systems Pvt. Ltd.,India,1Z,,
Blafugl ehf. dba Bluebird Cargo Ltd,Iceland,BO,,290
Bismillah Airlines Limited,Bangladesh,BH,,256
Blue Air Aviation S.A.,Romania,0B*,475,475
Blue Bird Airways,Greece,BZ,404,
Blue Dart Aviation Ltd.,India,BZ*,,620
